player_id,period,mention_count,positive_examples,negative_examples,source_sentiment
1,2021Q1,1158,Milan Martin looks brilliant after 1158 fan mentions | Milan Martin looks clinical after 1158 fan mentions,Milan Martin feels inconsistent to some supporters,0.2683
1,2021Q2,1396,Milan Martin looks brilliant after 1396 fan mentions | Milan Martin looks clinical after 1396 fan mentions,Milan Martin feels inconsistent to some supporters,0.4742
1,2021Q3,1289,Milan Martin looks brilliant after 1289 fan mentions | Milan Martin looks clinical after 1289 fan mentions,Milan Martin feels inconsistent to some supporters,0.8846
1,2021Q4,1112,Milan Martin looks brilliant after 1112 fan mentions | Milan Martin looks clinical after 1112 fan mentions,Milan Martin feels inconsistent to some supporters,0.6167
1,2022Q1,1219,Milan Martin looks brilliant after 1219 fan mentions | Milan Martin looks clinical after 1219 fan mentions,Milan Martin feels inconsistent to some supporters,0.8001
1,2022Q2,1176,Milan Martin looks brilliant after 1176 fan mentions,Milan Martin feels inconsistent to some supporters | Milan Martin feels overpriced to some supporters,-0.2989
1,2022Q3,1246,Milan Martin looks brilliant after 1246 fan mentions | Milan Martin looks clinical after 1246 fan mentions,Milan Martin feels inconsistent to some supporters,0.4062
1,2022Q4,1117,Milan Martin looks brilliant after 1117 fan mentions | Milan Martin looks clinical after 1117 fan mentions,Milan Martin feels inconsistent to some supporters,0.0262
1,2023Q1,1029,Milan Martin looks brilliant after 1029 fan mentions | Milan Martin looks clinical after 1029 fan mentions,Milan Martin feels inconsistent to some supporters,0.0376
1,2023Q2,1439,Milan Martin looks brilliant after 1439 fan mentions | Milan Martin looks clinical after 1439 fan mentions,Milan Martin feels inconsistent to some supporters,0.3973
1,2023Q3,974,Milan Martin looks brilliant after 974 fan mentions,Milan Martin feels inconsistent to some supporters | Milan Martin feels overpriced to some supporters,-0.1908
1,2023Q4,1143,Milan Martin looks brilliant after 1143 fan mentions,Milan Martin feels inconsistent to some supporters | Milan Martin feels overpriced to some supporters,-0.3578
1,2024Q1,1162,Milan Martin looks brilliant after 1162 fan mentions | Milan Martin looks clinical after 1162 fan mentions,Milan Martin feels inconsistent to some supporters,0.2778
1,2024Q2,833,Milan Martin looks brilliant after 833 fan mentions,Milan Martin feels inconsistent to some supporters | Milan Martin feels overpriced to some supporters,-0.0495
1,2024Q3,1014,Milan Martin looks brilliant after 1014 fan mentions | Milan Martin looks clinical after 1014 fan mentions,Milan Martin feels inconsistent to some supporters,0.2256
1,2024Q4,1292,Milan Martin looks brilliant after 1292 fan mentions,Milan Martin feels inconsistent to some supporters | Milan Martin feels overpriced to some supporters,-0.1115
1,2025Q1,1310,Milan Martin looks brilliant after 1310 fan mentions,Milan Martin feels inconsistent to some supporters | Milan Martin feels overpriced to some supporters,-0.0228
1,2025Q2,1276,Milan Martin looks brilliant after 1276 fan mentions | Milan Martin looks clinical after 1276 fan mentions,Milan Martin feels inconsistent to some supporters,0.4082
1,2025Q3,1098,Milan Martin looks brilliant after 1098 fan mentions | Milan Martin looks clinical after 1098 fan mentions,Milan Martin feels inconsistent to some supporters,0.1971
1,2025Q4,1092,Milan Martin looks brilliant after 1092 fan mentions | Milan Martin looks clinical after 1092 fan mentions,Milan Martin feels inconsistent to some supporters,0.4601
2,2021Q1,807,Milan Kane looks brilliant after 807 fan mentions | Milan Kane looks clinical after 807 fan mentions,Milan Kane feels inconsistent to some supporters,0.2737
2,2021Q2,1030,Milan Kane looks brilliant after 1030 fan mentions | Milan Kane looks clinical after 1030 fan mentions,Milan Kane feels inconsistent to some supporters,0.2567
2,2021Q3,1000,Milan Kane looks brilliant after 1000 fan mentions | Milan Kane looks clinical after 1000 fan mentions,Milan Kane feels inconsistent to some supporters,1.0
2,2021Q4,1120,Milan Kane looks brilliant after 1120 fan mentions | Milan Kane looks clinical after 1120 fan mentions,Milan Kane feels inconsistent to some supporters,0.5816
2,2022Q1,862,Milan Kane looks brilliant after 862 fan mentions | Milan Kane looks clinical after 862 fan mentions,Milan Kane feels inconsistent to some supporters,0.7368
2,2022Q2,654,Milan Kane looks brilliant after 654 fan mentions | Milan Kane looks clinical after 654 fan mentions,Milan Kane feels inconsistent to some supporters,0.0394
2,2022Q3,981,Milan Kane looks brilliant after 981 fan mentions | Milan Kane looks clinical after 981 fan mentions,Milan Kane feels inconsistent to some supporters,0.3302
2,2022Q4,880,Milan Kane looks brilliant after 880 fan mentions | Milan Kane looks clinical after 880 fan mentions,Milan Kane feels inconsistent to some supporters,0.2898
2,2023Q1,908,Milan Kane looks brilliant after 908 fan mentions | Milan Kane looks clinical after 908 fan mentions,Milan Kane feels inconsistent to some supporters,0.1684
2,2023Q2,769,Milan Kane looks brilliant after 769 fan mentions | Milan Kane looks clinical after 769 fan mentions,Milan Kane feels inconsistent to some supporters,0.1161
2,2023Q3,659,Milan Kane looks brilliant after 659 fan mentions | Milan Kane looks clinical after 659 fan mentions,Milan Kane feels inconsistent to some supporters,0.7361
2,2023Q4,791,Milan Kane looks brilliant after 791 fan mentions | Milan Kane looks clinical after 791 fan mentions,Milan Kane feels inconsistent to some supporters,0.0883
2,2024Q1,769,Milan Kane looks brilliant after 769 fan mentions | Milan Kane looks clinical after 769 fan mentions,Milan Kane feels inconsistent to some supporters,0.4277
2,2024Q2,935,Milan Kane looks brilliant after 935 fan mentions | Milan Kane looks clinical after 935 fan mentions,Milan Kane feels inconsistent to some supporters,0.1593
2,2024Q3,884,Milan Kane looks brilliant after 884 fan mentions | Milan Kane looks clinical after 884 fan mentions,Milan Kane feels inconsistent to some supporters,0.2668
2,2024Q4,649,Milan Kane looks brilliant after 649 fan mentions | Milan Kane looks clinical after 649 fan mentions,Milan Kane feels inconsistent to some supporters,0.5138
